LicenseNumber,EntityName,DBA,BusinessLocation,City,State,ZipCode,BusinessPhone,OriginalIssueDate,ExpirationDate,LicenseType,LicenseSub-Type,BusinessDescription,PrimaryJurisdiction,CityofHenderson,CityofLasVegas,CityofNorthLasVegas,ClarkCounty,BillingAddress1,BillingAddress2,BillingCity,BillingState/Province,BillingZipCode
2022318827,JETT Gaming LLC,Terrible's Gaming,3366 St Rose Pkwy,Henderson,Nevada,89052,,11/17/2022,09/30/2026,Gaming,Gaming,Slot Route Operator additional location for Terribles #441,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2022318828,JETT Gaming LLC,Terrible's Gaming,10611 S Eastern Ave,Henderson,Nevada,89052,,11/17/2022,09/30/2026,Gaming,Gaming,Slot Route Operator additional location for Terrible's #440,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2022318836,Champions Tavern LLC,Aces East,35 S Gibson Rd,Henderson,Nevada,89012,(702) 333-0014,03/01/2023,09/30/2026,Gaming,Gaming,15 Slot machines added to Tavern,City of Henderson,Yes,No,No,No,7272 El Capitan Way,2,Las Vegas,NV,89148
2021317352,Apollo Coin Corp.,Nevada Gaming Corp,65 S Stephanie St,Henderson,Nevada,89012,,12/19/2022,09/30/2026,Gaming,Gaming,Slot Route Operator DBAT The Lodge at Stephanie,City of Henderson,Yes,No,No,No,3399 Durango Dr,105,Las Vegas,NV,89117
2022318829,JETT Gaming LLC,Terrible's Gaming,2200 W Horizon Ridge Pkwy,Henderson,Nevada,89052,,11/17/2022,09/30/2026,Gaming,Gaming,7 machines. DBAT Terrible's #436,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2022319816,JETT Gaming LLC,Jett Gaming LLC,2605 St Rose Pkwy,Henderson,Nevada,89052,,03/23/2023,09/30/2026,Gaming,Gaming,Restricted gaming dbat Terrible's #442,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2022319846,"Sartini Gaming, LLC","Sartini Gaming, LLC",2355 Via Inspirada,Henderson,Nevada,89044,,09/19/2022,09/30/2026,Gaming,Gaming,Slot Route Operator DBAT 7-Eleven #38994A,City of Henderson,Yes,No,No,No,6595 S Jones Blvd,,Las Vegas,NV,89118
2022318830,JETT Gaming LLC,Terrible's Gaming,3061 Saint Rose Pkwy,Henderson,Nevada,89052,,11/17/2022,09/30/2026,Gaming,Gaming,7 machines. DBAT Terrible's #434,City of Henderson,Yes,No,No,No,3440 Russell Rd,,Las Vegas,NV,89118
2022318565,"Gaming Ventures of Las Vegas, Inc., A Nevada Corporation",Carl and Martin's Bar,2920 N Green Valley Pkwy,Henderson,Nevada,89014,,05/23/2023,09/30/2026,Gaming,Gaming,5 machines - bartop gaming devices.,City of Henderson,Yes,No,No,No,2920 N Green Valley Pkwy,611,Henderson,NV,89014
2022318728,"Speedee Mart, Inc.",Speedee Mart #129,3465 Volunteer Blvd,Henderson,Nevada,89044,,11/08/2022,09/30/2026,Gaming,Gaming,Convenience store with slot machines,City of Henderson,Yes,No,No,No,1188 Wigwam Pkwy,,Henderson,NV,89074
