entity_name,license_numbers,dba_names
"""D"" Klan, Inc.",2024331814,Clinicians Home Health Care Services
"#1 Bailbonds, LLC.",2010301620,"#1 Bailbonds, LLC."
"&rea Arts, LLC",2006300276,"&rea Arts, LLC"
00:00:00 Midnight Bail Bonds LLC,2011301890,00:00:00 Midnight Bail Bonds
"047 Henderson, LLC",2024330438,Kneaders Bakery & Cafe
1 Savior of All Christian Ministry,2025333683,1 Savior of All Christian Ministry
101 Barbershop LLC,2022320317,101 Barbershop LLC
1060 WWP Consulting Limited,2026334554,ABA Business Consulting
10orio Corporation,2014303640,Red Rice
11 Eleven Tactical USA LLC,2026335724,11 Eleven Tactical USA
12 VENTURES LLC,2016301952,"HABIT BURGER GRILL, THE"
123 SAVE A HOME INC,2011302686,123 SAVE A HOME INC
"1250 Henderson Owner, LLC",2024331016,The Hendry
13 Reconciliation Services LLC,2025333571,13 Reconciliation Services LLC
"133 S. Water Street, LLP",2021318120,No. 1 Boba Tea Social
"1349 HORIZON RIDGE, LP",2007303961,Bella Terra Apartments
"1414 RED SUNSET, LLC",2021317575,Red Sunset Care Home
"143 Event Studio, LLC",2024331353,"143 Event Studio, LLC"
"1450 Country Kitchen, LLC",2007302169,Timbers Grill
"14528 Henderson, LLC",2023321471,Claim Jumper Restaurant
1POINT618 L.L.C.,2015301065; 2019311529,The Juice Standard
1st Choice Air Duct Care LLC,2024329710,1st Choice Air Duct Care LLC
1st Response Towing Inc,2017306339,The Tow Truck Company
2 Taurean Partners Corp.,2024331681,The UPS Store 7311
2 White Rabbits LLC,2024329847,2 White Rabbits LLC
200 PERCENT SPORTS INC.,2019309836,200 PERCENT SPORTS INC.
"214 Brothers 3, Inc",2021317542; 2021317543,Storming Crab Henderson
22 Warriors Foundation,2017306229; 2017305901,Warriors Suicide Prevention Foundation; American War Mothers
"2312 N Green Valley Fee Owner, LLC",2025334336,23Twelve
238 Consulting LLC,2025333829,238 Consulting LLC
"24 BLACK INDUSTRIES, LLC.",2013302326,ABSOLUTE FLOOD RESPONSE
24/7 Apollo Healthcare Inc.,2024329518,24/7 Apollo Hospice & Palliative Care
"24/7 MOBILE CAR WASH, INC.",2008300471,"24/7 MOBILE CAR WASH, INC."
24/7 Supertech Locksmith LLC,2013300931,24/7 Supertech Locksmith Services
"2600Hz, INC.",2023321411,"2600Hz, Inc."
27WON LLC,2020313634,27WON
28Forever L.L.C.,2024330507,28Forever Cndl Co.
"2LU Cakes, LLC",2022318856,Nothing Bundt Cakes
2PUFFSUP,2021317637,2PUFFSUP
3 AMIGOS LLV,2008301387; 2008301386,Sonrisa Grill
3 BROS GARAGE LLC,2015303808,ACE COMPLETE AUTO REPAIR
3 Brothers Restaurants - Nevada LLC,2023322228; 2023322231; 2023322232; 2023322233,Del Taco #1432; Del Taco #1435; Del Taco #1439; Del Taco #1444
"3 Dogs, LLC",2021317567,Z Cages
"3 Sigma Financial, Inc",2025332359,Wedbush Securities
"316, LLC",2008303505,"316, LLC"
33.Black LLC,2025332386,NV Power Washing
3480 Hacienda Partners LLC,2016301481,Evergreen Edibles
"38301, Inc.",2020314076; 2020314077; 2020314078,7-Eleven Store #38301A
3AP INC,2017304768,Nature's Chemistry
"3B Media, Inc.",2022320483,"3B Media, Inc."
"3BG, LLC",2026334772,Blvd & Main
"3D Retro, Inc.",2023323188,"3D Retro, Inc."
"3E, LLC",2016301814,"3E, LLC"
3ROTR Kitchen Rentals LLC,2023321953,Kitchen Haulers
3SD LLC,2023329176,Cobrinha Henderson
"3rd Eye Tattoo, LLC",2022320307,3rd Eye tattoo
3rd Reef Divers LLC,2019311625,3rd Reef Divers
4 Most Services LLC,2026335192,4 Most Services LLC
42 Creations LLC,2025334081,42 Creations LLC
"420 Bail Bonds, Inc",2022319722,"420 Bail Bonds, Inc"
4D Companies LLC,2022320892,Roadhouse
4LEAF CONSULTING LLC,2018308641,4LEAF CONSULTING LLC
"4Maja, LLC",2021315689; 2021315690; 2021315691,7-Eleven Store #38394A
4corners Streetkitchen LLC,2025333687,4corners Streetkitchen
"4me Wellness, LLC",2026336122,4me Wellness
"5 Diamond Diva, LLC",2022320970,"5 Diamond Diva, LLC"
"5 Ks, Corporation",2000058173,"5 Ks, Corporation"
"5 Star Fitness, LLC",2010302920,Strength Center
"5. 11, INC.",2023321808,"5. 11, INC."
504 Handyman LLC,2024331510,504 Handyman LLC
512 Automotive Inc,2020314538,PURRFECT AUTO SERVICE #512
540 Automotive Inc,2020314534,Purrfect Auto Service #540
"5F LOGISTICS, INC.",2015300987,"5F LOGISTICS, INC."
5J Wireless Inc,2023322399,Boost Mobile
"5th Bridge Funding, LLC",2024329575,"5th Bridge Funding, LLC"
7 Hills Vision Center LLC,2007302366,Seven Hills Vison Center
702 Certified Inspections LLC,2025333133,702 Certified Inspections LLC
"702 Fire Protection, Inc.",2025333478,"702 Fire Protection, Inc."
702 Home Inspections LLC,2025333728,Inspect LV
702 Mia LLC,2022321102; 2022321104,Hiroba Sushi
"702 Ozzy, LLC",2021317489; 2021317490,Island Sushi & Grill
702 Vending LLC,2015300259,702 VENDING
777 Collective Clothing LLC,2026335670,777 Collective Clothing LLC
777 Towing LLC,2024330254,777 Towing
7L Food Services LLC,2024330952,Major Munchiez
7Sevens Lawncare & Maintenance,2025333598,7Sevens Lawncare & Maintenance LLC
8 Ball Bail Bonds LLC,2008304540,8 Ball Bail Bonds LLC
"80 On Gibson Partners, LLC",2021316870,80 On Gibson Apartments
"804 JOHNSTON, P.C.",2015300960,Ready Dental
