id,entity_name,dba,all_licenses,total_licenses,license_sub_types,address,city,state,zip_code,municipal_phone,place_id,google_name,formatted_address,website,phone_number,primary_category,categories,rating,user_ratings_total,business_status,enriched_at
1,"""D"" Klan, Inc.",Clinicians Home Health Care Services,2024331814,1,Medical Office,375 N Stephanie St Bldg 10,Henderson,Nevada,89014,(702) 844-6288,ChIJt6hnBUfNyIARH8rtkjjy3GU,"Home Instead, Home Care Services of Henderson","2880 Bicentennial Pkwy suite 100 2076, Henderson, NV 89044, USA",https://www.homeinstead.com/home-care/usa/nv/las-vegas/862/,(702) 843-1421,Health,Health,5.0,1,OPERATIONAL,2026-08-24 14:41:28
2,"#1 Bailbonds, LLC.","#1 Bailbonds, LLC.",2010301620,1,Bail Bond Broker,121 Gass Ave,Las Vegas,Nevada,89101,,ChIJ9YLWyZvDyIARSnQ3A1xuOtA,Free Bail Bonds Las Vegas,"121 Gass Ave, Las Vegas, NV 89101, USA",https://www.freebailbondsagency.com/,(702) 598-3733,Establishment,,4.9,491,OPERATIONAL,2026-08-24 14:41:28
3,"&rea Arts, LLC","&rea Arts, LLC",2006300276,1,Miscellaneous,870 Via Della Vittoria,Henderson,Nevada,89011,,ChIJrYLZnRrQyIARIUyLT5ia22A,Desert Art Supplies,"2750 N Green Valley Pkwy D, Henderson, NV 89014, USA",http://www.desertartsupplies.com/,(702) 451-8040,Cafe,"Cafe, Food, Store",4.8,172,OPERATIONAL,2026-08-24 14:41:28
4,00:00:00 Midnight Bail Bonds LLC,00:00:00 Midnight Bail Bonds,2011301890,1,Bail Bond Broker,121 Gass Ave,Las Vegas,Nevada,89101,,ChIJ9YLWyZvDyIARSnQ3A1xuOtA,Free Bail Bonds Las Vegas,"121 Gass Ave, Las Vegas, NV 89101, USA",https://www.freebailbondsagency.com/,(702) 598-3733,Establishment,,4.9,491,OPERATIONAL,2026-08-24 14:41:29
5,"047 Henderson, LLC",Kneaders Bakery & Cafe,2024330438,1,Restaurant/Food Service,11271 S Eastern Ave,Henderson,Nevada,89052,,ChIJm23YDPrNyIAR5jy8u9CJ2VI,Kneaders Bakery & Cafe,"11271 S Eastern Ave, Henderson, NV 89052, USA",https://www.kneaders.com/,(702) 831-5910,Cafe,"Cafe, Food",4.3,863,OPERATIONAL,2026-08-24 14:41:30
6,1 Savior of All Christian Ministry,1 Savior of All Christian Ministry,2025333683,1,Non-Profit Registration,2140 S Boulder Hwy,Henderson,Nevada,89002,,ChIJCQwNI6TWyIARRYX9E8jaYTc,Our Saviors Lutheran Church,"59 Lynn Ln, Henderson, NV 89015, USA",http://oursaviorschurch.net/,(702) 565-9154,Church,"Church, Place Of Worship",4.5,112,OPERATIONAL,2026-08-24 14:41:30
7,101 Barbershop LLC,101 Barbershop LLC,2022320317,1,Barbershops and Cosmetology Establishment,16 W Horizon Ridge Pkwy,Henderson,Nevada,89012,,ChIJ1fP4_KDVyIARmJciPL6Fa5E,101 Barbershop,"16 W Horizon Ridge Pkwy #100, Henderson, NV 89012, USA",https://www.101barbershopllc.com/,(702) 202-1520,Hair Care,"Hair Care, Health",4.5,151,OPERATIONAL,2026-08-24 14:41:31
8,1060 WWP Consulting Limited,ABA Business Consulting,2026334554,1,Management/Marketing/Consulting,1060 Wigwam Pkwy,Henderson,Nevada,89074,,ChIJq6p6KvXQyIARq_lWJAyOeNQ,Settle Down Aba Inc,"1060 Wigwam Pkwy, Henderson, NV 89074, USA",https://www.settledownaba.com/,(702) 547-6971,Health,Health,3.8,9,OPERATIONAL,2026-08-24 14:41:31
9,10orio Corporation,Red Rice,2014303640,1,Restaurant/Food Service,9400 S Eastern Ave,Las Vegas,Nevada,89123,,ChIJL50xVEfOyIARLPS51AOpE7E,Red Rice,"9400 S Eastern Ave Ste 106a, Las Vegas, NV 89123, USA",http://www.redricelv.com/,(702) 912-4826,Food,"Food, Restaurant",4.6,467,OPERATIONAL,2026-08-24 14:41:32
10,11 Eleven Tactical USA LLC,11 Eleven Tactical USA,2026335724,1,Firearms/Firearms Instructor,10120 S Eastern Ave,Henderson,Nevada,89052,,ChIJQdcPkBHOyIARpffCCCZGYkY,Vegas-Firearms,"10120 S Eastern Ave Ste 200, Henderson, NV 89052, USA",http://www.vegas-firearms.com/,(702) 374-7963,Store,Store,4.8,86,OPERATIONAL,2026-08-24 14:41:32
